微博内容,统一后的评论,点赞数
整理相册发现这段把领导声音录进去了 2武汉 L肉桂猫猁的微博,"要努力要好运要幸福 ：我带着耳机进去以为外放了吓我一跳
舟舟也是周周：坐无人车会不会害怕啊
鱿鱼不是鱼摆摆 ：自动驾驶吗
不断强大的荔枝：自动驾驶好酷
北京西城三孩爹编外教书日记Bot：卧槽我以为听到自己声音
Abandonandalwaysaept ：像三环
在下茉莉雨o：感觉领导很年轻哈哈哈哈
个斑马的克马_：武汉的萝卜已经被调教的会加塞，会抢行了。。全员恶萝卜",1
"安利大家来武汉玩打 萝卜快跑无人驾驶
安静 干净 无异味 能自选歌曲 调节空调 还有按摩
比快车还便宜点 真的很难拒绝

（记得帮萝卜把门关上 不然会停在路边反复播放“请帮萝卜关关门吧”） 2武汉","BLANKJJJ ：最主要不会碰到司乘纠纷
测测君test：咋样现在这个车 行驶起来顺畅不？
豆耳朵___ ：这是广告贴吗
EasonZES ：上周才去完武汉，感觉好的酒店太少
隔壁老白的微博 ：然而只有郊区才有
handsome小新来了 ：主驾能做吗
浅浅晓月：鹏鹏车咋不开。。
张不困觉 ：上次傻缺萝卜在庙山路中间停下来放人下车，我在后面急死了
对方不想理你并踹了你一jio ：可是汉阳很少啊",1
"失眠了呜呜呜来碎碎念
📍1.在北京一年半，去了19个公园了，奥森还有北海都去了两三次了，想到北京这么大每次不辞辛苦过去真厉害我对象去了17个，中山公园还有圆明园是和姐妹去的
📍2.自制装饰画，我对象捐款送的表彰立牌，刚好有一大一小两个纸袋我就搞了搞手工放进去了，严丝合",,1
"很神奇的把每一个江汉路自动过滤成了汉江路，满脑子全是刘宪华在汉江边拍的vlog发的歌这对吗?!!!喝了茶颜悦色偶遇了萝卜快跑，天天老乡鸡大米先生彻底腻住了...
“蒜鸟蒜鸟～”
因为助理太过摆烂老天大发慈悲赐给我了一个聪明麻利的东北实习生，开口就是乐子天赋太强了哈哈哈哈哈哈哈",大米先生rie：“蒜鸟蒜鸟”还是继续大米先生,1
"特斯拉Robotaxi商业化时刻将至 【国海计算机】 ⭐ 6月22日特斯拉Robotaxi将首次公开试运营。
[红包] 特斯拉Robotaxi优势：算力/数据/成本
特斯拉：拥有500万辆具备FSD硬件和软件的车队以及10万个GPU。截至2025年3月28日，特斯拉FSD累计行驶里程已经超过36亿英里。计划打破传统的汽车装配技术，有",,1
如果发生战争，萝卜快跑会变成陆战队吗？,,1
也是坐上萝卜快跑了,"砚潮生：萝北会超车吗
CooaRibbon重生版 ：咋这就回湖北了
不爱洗头哇_ ：能不能跑来成都",1
冒个泡 光谷一日游，空轨、萝卜快跑、小摩托一日游。,动为前人抱不平 ：你竟然有娃儿，娃竟然这么大了,1
"就很本地特色
怎么会有人在宜家睡大觉
萝卜快跑比武汉司机守规矩多了","olkino ：开启毕业环游了这是
评论罗伯特：宜家宜家，狗子都被规矩封印",1
"领导的领导也来武汉了，领导准备用我教他萝卜快跑的攻略去舔他的领导

气薯","财小萱：
不断强大的荔枝：哈哈哈哈哈哈
ZiJian_Wan炯辰 ：世界是个巨大的回旋镖
JamesBuu：错付了哈哈哈哈
我第三象限：哈哈哈哈哈哈哈",1
第一次尝试萝卜快跑无人驾驶，感觉很奇妙。记录第一次尝试无人驾驶 L梅子_zhang的微博,舞荷之灵099 ：你敢坐,1
武汉体验一次萝卜快跑,,1
如果赶时间千万别做萝卜快跑，哭死，12分钟路程硬生生开了43分钟！,,1
"【零态洞察百态萝卜快跑在上海成立新公司萝卜快跑上海公司成立】
天眼查App显示，近日，萝卜快跑（上海）科技有限公司成立，法定代表人为毕然，注册资本100万人民币，经营范围含人工智能基础软件开发、人工智能应用软件开发、计算机系统服务、互联网数据服务、数据处理和存储支持服务、信息系统",,1
"忘记从哪看的说萝卜快跑是有司机后台操控
那么noa是不是也……",,1
"本来以为打酱油，没想到还拿了第三名，以前埋头科研，从未想过演讲技巧，这次因为比赛着重听了一下，发现人家拿第一还是很有道理的。

时隔一年再次去武汉，时间很短，母校发展的可真好啊，新楼可真漂亮，不过武汉这些楼盘又高又密，容积率有点吓人了。

另外，我还看到了萝卜快跑！无人驾驶真","Coooollins ：第三名也很厉害啦！
CodeBlueHYCOSAN ：好棒",1
"记录下充实的水疗团建周末😌
+萝卜快跑初体验🥕
+偶遇的一只差点成为新宠物的小鸟🦜 2东莞",,1
第一次坐萝卜快跑，太先进了萝卜快跑 2武汉,"w王-有-志 ：还是武汉的公交司机厉害
换换名字z ：紧张吗🙃",1
空轨车🚄-萝卜快跑🚕-湖北科技馆🛰️体验科技之旅,,1
咱们也是打上萝卜快跑了,限時環遊手記 ：开得特别猛,1
"@萝卜快跑自动驾驶
关于无人驾驶的相关建议
我是一个经常晕车的人，一遇到堵车，我就会恶心呕吐。所以建议无人汽车能提供一次性塑料袋、垃圾袋和晕车贴。
我是一个有表达欲的人，我想和别人倾诉我的烦恼。汽车里没有人我又该和谁倾诉呢？没有人聊天我会不开心。所以我建议有倾诉",,1
@萝卜快跑自动驾驶 希望南京也有萝卜快跑。,,1
大半夜下雨，打了辆萝卜快跑，真的有一种诡异的气氛 L学习学你妈b的微博,杨温暖Viky ：无人驾驶？！,1
终于坐上萝卜快跑了 里面跟装音响了一样 Lli别熬夜了呗_的微博,,1
把车送去4s店换部件，只能打车去酒店喝喜酒，第一次体验萝卜快跑，怎么说呢？特别符合我的口味，没有陌生人在同一个车里相当舒服…,,1
今日份打萝卜快跑，失败,,1
"打球后标配—米村石锅鸡蛋
萝卜快跑里都没人了，之前坐主驾驶还有人看着路",,1
这么久第一次尝试打了一辆萝卜快跑。,"以之为美的窝儿 ：坐在里面心情如何？有无一点紧张感。
小葵妈lim ：哇塞，好期待，山东还没有
憨猫和咸鱼 ：我还没敢尝试，不过我同事坐过好几次。",1
原来的5公里打底，现在已经成了遥不可及的目标了萝卜快跑人生,评论罗伯特：5公里打底，听着就像是超人的日常训练啊！不过，慢慢来，目标总会有实现的一天，萝卜头给你加油～,1
不是…这两人也太松弛了吧…时间观念为负…13:30的车，儿子说提前10分钟到高铁站就足够，我想着也觉得差不多（安检之后跑一跑应该问题不大），结果因为我们当时在商圈附近吃饭，碰上大堵车…打车比预计晚20分钟才能到…后面在颖哥的协助下退票改车次，准备赶14:01的车次…打到车之后，我和司机说了需要,嘎嘎Losiga ：我想买甘食记的醋 真的好香,1
谁把我的萝卜快跑堵路上了……我快在路边热晕了啊！,八月和小黑猫 ：笑死了还有另外一辆也堵在路上……母子二人就跟我一块挨晒,1
蔡徐坤超话 我朋友今天坐无人驾驶的萝卜快跑 放蔡徐坤的deadman 她说很好听 音质也很好 蔡徐坤歌曲deadman,"吃瓜罗伯特：坤坤的歌声给无人驾驶添了点浪漫气息~
我不是小小小小小白日梦想家 ：她跟她对象上瘾了 还在听",1
萝卜快跑 2武汉,,1
与百度萝卜快跑携手，在全球范围推广ro­b­o­t­a­xi，想象力很大。,"IF普通人 ：谁
改个名字得了吧 ：
清晨阳光111111 ：哦
花果山_孙悟空：这玩意儿真神，比俺老孙筋斗云还溜！
Wait1945184 ：谁？",1
萝卜你他妈6公里路给我开半个小时。萝卜快跑 2武汉 L小周-金蛾化工的微博,,1
"MWC 上海迄今已成功迎来了第12届啦🎉🎉
本届展会亮点纷呈，汇聚全球顶尖通信技术，多家重量级展商将携前沿科技创新方案亮相。👉此外，一场主题为“体验浦东速度，预见未来出行”的自动驾驶接驳体验活动也将于6月16日重磅登场！
——特色展商亮点——
✅浩鲸云计算科技股份有限公司：浩鲸科技以“",黄惟冰：一转眼十年过去了！MWC,1
"今天遛娃的时候看到两辆萝卜快跑
就跟她简单介绍了一下
没想到 走了一段之后
隔老远她突然指着一辆车说萝卜车
还真是
萝卜车和普通小汽车差别很小
这记忆力也是没谁了",,1
"新版萝卜牌🃏萝萝快跑
其实就是UNO玩法
比之前的好玩些吧
萝们觉得呢？
桃源深处有人家生活处处是桃源超话创作官 L香菜哒咩哟唷的微博","可莉喵喵酱：感觉确实好玩
Day_美丽的一天游戏记：真的可爱
顾末青云 ：我也喜欢这个游戏
小疯子_Ning：好可爱呀
瑾沫煜：好可爱呀
游戏杰_Jak：感觉挺好玩的呀
爱慕弑身：好好玩呀宝宝
呆梦酱吖：确实好玩嘟
甜洛喵酱：有点可爱了",1
"范丞丞超话 f范丞丞二十五初心未负 f范丞丞0616生日快乐

🎂生日倒计时三天！
搞个小抽奖~😉

🎁
1.萝卜快跑
2.跑跑熊
3.跑跑长毛怪
4.小黄鸭
5.长腿星星
6.变脸章鱼
7.星星捏捏
8.星星夜灯
9.星星挂件

要求
1.关注@范丞丞Adam0616 唯丞 h＞11
2.带范丞丞0616生日快乐 🧱➕?","丞子薇酸：求求抽我参加了那么多个，好不容易中一个，结果那个人的号被封了，好命苦哈哈，今天的直播也没看到
当丞丞来敲门：hm我范丞丞0616生日快乐
FAN_潘潘爱丞丞：范丞丞0616生日快乐 44
丞子薇酸：范丞丞0616生日快乐 哇哇哇！蹲蹲还有机会嘛
芋泥蛋挞夹心丞：范丞丞0616生日快乐 414呀
芙芙奶酪包_超忙版：好可爱，我来 414喽
吧唧一口果粒丞 ：来44范丞丞0616生日快乐
CJianKangPingan：来试试
写给返程的一封信：范丞丞0616生日快乐",1
萝卜快跑背刺我😭😭😭,安慰猫 ：出行小插曲别沮丧，换个站点也许有惊喜，参与活动好运连连，祝你旅途开心哦~,1
一个科技公司，一个盲盒潮玩品牌，百度员工纳了闷：我们公司市值为何还不如泡泡玛特。之前看新闻，萝卜快跑在国外也火了，百度市值怎么不见暴涨，难不成潮玩比无人驾驶还更有未来？,,1
"纯体验，新车感受还不错
无人驾驶萝卜快跑无人驾驶汽车 2武汉 L锦言妙鱼的微博",,1
"2.9元的快乐～你懂？😎
你好萝卜～人在旅途🚘
初次体验～萝卜快跑🥕
萝卜2代～车型时尚🚗
副驾可坐～驾驶平稳👏
精准导航～智人先锋👍 2武汉·光谷 L季候风58980的微博",,1
"忽然想起一件事
有没有朋友能告诉我萝卜快跑现在怎么样了",,1
萝卜快跑（Apollo Go）已在中国11个城市开放载人测试运营服务，包括北京、上海、广州、深圳、重庆、武汉、成都、长沙、合肥、乌镇和阳泉，并在北京、武汉、重庆、深圳、上海开展全无人自动驾驶出行服务与测试‌。此外，其服务已扩展至中国香港及海外城市迪拜、阿布扎比、瑞士和土耳其。‌‌,,1
"把萝卜快跑变成移动k歌房
还加座椅按摩
太爽了",,1
"【百度Apollo携萝卜快跑自动驾驶测试车亮相2025香港车博会】
2025年6月12日，2025国际汽车及供应链博览会（香港）在亚洲博览馆正式开幕。在供应链展区，@Apollo-智能驾驶 携自动驾驶测试车惊艳亮相。
据展台负责人介绍，百度Apollo是国内最早在香港特别行政区布局自动驾驶业务的自动驾驶公司之一。本次",,1
特斯拉无人驾驶出租车来了！一个看懂，特斯拉到底有何优势？ L极客小冷的微博,,1
"前一秒：哇哦～ 萝卜升级了～ 好宽敞～
下一秒：前面的车撞了，傻萝卜不会动了
萝卜快跑",道长_王也 ：萝卜升级，宽敞是福，安全第一，下次定能跑得更远。,1
萝卜快跑 坐萝卜快跑上班去咯,,1
说真的武汉能不能禁止萝卜快跑走小路啊每次一条路莫名其妙堵上就看见前面一辆萝卜快跑堵着蜗牛爬开车开的恼火死了怒路症都要犯了🙏🙏🙏,柔柔aaa_ ：对 真的走得很慢,1
"黄文政讲人口问题（6）
如何通过起点收入给全民发钱 L黄文政关注人口问题的微博","DaisyLord ：不会实行的，能给一些补贴生育就不错了。
悟-方志华 ：人口问题——起点收入制度，从基础上深层次的解决了未来发展的社会问题，人口出生率问题。",1
